"title","author","subject","abstract","date"
"we know i know you know; choreographic programming with multicast and multiply located values","mako bates, joseph p. near","programming languages","concurrent distributed systems are notoriously difficult to construct and reason about. choreographic programming is a recent paradigm that describes a distributed system in a single global program called a choreography. choreographies simplify reasoning about distributed systems and can ensure deadlock freedom by static analysis. in previous choreographic programming languages, each value is located at a single party, and the programmer is expected to insert special untyped ""select"" operations to ensure that all parties follow the same communication pattern.
we present he-lambda-small, a new choreographic programming language with multiply located values. he-lambda-small allows multicasting to a set of parties, and the resulting value will be located at all of them. this approach enables a simple and elegant alternative to ""select"": he-lambda-small requires that the guard for a conditional be located at all of the relevant parties. in he-lambda-small, checking that a choreography is well-typed suffices to show that it is deadlock-free. we present several case studies that demonstrate the use of multiply-located values to concisely encode tricky communication patterns described in previous work without the use of ""select"" or redundant communication.",2024-03-08
"watchat: explaining perplexing programs by debugging mental models","kartik chandra, tzu-mao li, rachit nigam, joshua tenenbaum, jonathan ragan-kelley","programming languages","often, a good explanation for a program's unexpected behavior is a bug in the programmer's code. but sometimes, an even better explanation is a bug in the programmer's mental model of the language they are using. instead of merely debugging our current code (""giving the programmer a fish""), what if our tools could directly debug our mental models (""teaching the programmer to fish"")? in this paper, we apply ideas from computational cognitive science to do exactly that. given a perplexing program, we use program synthesis techniques to automatically infer potential misconceptions that might cause the user to be surprised by the program's behavior. by analyzing these misconceptions, we provide succinct, useful explanations of the program's behavior. our methods can even be inverted to synthesize pedagogical example programs for diagnosing and correcting misconceptions in students.",2024-03-08
"llm4decompile: decompiling binary code with large language models","hanzhuo tan, qi luo, jing li, yuqun zhang","programming languages","decompilation aims to restore compiled code to human-readable source code, but struggles with details like names and structure. large language models (llms) show promise for programming tasks, motivating their application to decompilation. however, there does not exist any open-source llm for decompilation. moreover, existing decompilation evaluation systems mainly consider token-level accuracy and largely ignore code executability, which is the most important feature of any program. therefore, we release the first open-access decompilation llms ranging from 1b to 33b pre-trained on 4 billion tokens of c source code and the corresponding assembly code. the open-source llms can serve as baselines for further development in the field. to ensure practical program evaluation, we introduce decompile-eval, the first dataset that considers re-compilability and re-executability for decompilation. the benchmark emphasizes the importance of evaluating the decompilation model from the perspective of program semantics. experiments indicate that our llm4decompile has demonstrated the capability to accurately decompile 21% of the assembly code, which achieves a 50% improvement over gpt-4. our code, dataset, and models are released at this https url",2024-03-08
"dt-sim: property-based testing for mpc security","mako bates, joseph p. near","cryptography and security","formal methods for guaranteeing that a protocol satisfies a cryptographic security definition have advanced substantially, but such methods are still labor intensive and the need remains for an automated tool that can positively identify an insecure protocol. in this work, we demonstrate that property-based testing, ""run it a bunch of times and see if it breaks"", is effective for detecting security bugs in secure protocols. we specifically target secure multi-party computation (mpc), because formal methods targeting this security definition for bit-model implementations are particularly difficult. using results from the literature for probabilistic programming languages and statistical inference, we devise a test that can detect various flaws in a bit-level implementation of an mpc protocol. the test is grey-box; it requires only transcripts of randomness consumed by the protocol and of the inputs, outputs, and messages. it successfully detects several different mistakes and biases introduced into two different implementations of the classic gmw protocol. applied to hundreds of randomly generated protocols, it identifies nearly all of them as insecure. we also include an analysis of the parameters of the test, and discussion of what makes detection of mpc (in)security difficult.",2024-03-08
"automating the information extraction from semi-structured interview transcripts","angelina parfenova","computation and language","this paper explores the development and application of an automated system designed to extract information from semi-structured interview transcripts. given the labor-intensive nature of traditional qualitative analysis methods, such as coding, there exists a significant demand for tools that can facilitate the analysis process. our research investigates various topic modeling techniques and concludes that the best model for analyzing interview texts is a combination of bert embeddings and hdbscan clustering. we present a user-friendly software prototype that enables researchers, including those without programming skills, to efficiently process and visualize the thematic structure of interview data. this tool not only facilitates the initial stages of qualitative analysis but also offers insights into the interconnectedness of topics revealed, thereby enhancing the depth of qualitative analysis.",2024-03-07
"evaluation of llms on syntax-aware code fill-in-the-middle tasks","linyuan gong, sida wang, mostafa elhoushi, alvin cheung","computation and language","we introduce syntax-aware fill-in-the-middle (safim), a new benchmark for evaluating large language models (llms) on the code fill-in-the-middle (fim) task. this benchmark focuses on syntax-aware completions of program structures such as code blocks and conditional expressions, and includes 17,720 examples from multiple programming languages, sourced from recent code submissions after april 2022 to minimize data contamination. safim provides a robust framework with various prompt designs and novel syntax-aware post-processing techniques, facilitating accurate and fair comparisons across llms. our comprehensive evaluation of 15 llms shows that fim pretraining not only enhances fim proficiency but also improves left-to-right (l2r) inference using llms. our findings challenge conventional beliefs and suggest that pretraining methods and data quality have more impact than model size. safim thus serves as a foundational platform for future research in effective pretraining strategies for code llms. the evaluation toolkit and dataset are available at this https url, and the leaderboard is available at this https url.",2024-03-07
"quantifying contamination in evaluating code generation capabilities of language models","martin riddell, ansong ni, arman cohan","software engineering","while large language models have achieved remarkable performance on various code generation benchmarks, there have been growing concerns regarding potential contamination of these benchmarks as they may be leaked into pretraining and finetuning data. while recent work has investigated contamination in natural language generation and understanding tasks, there has been less extensive research into how data contamination impacts the evaluation of code generation, which is critical for understanding the robustness and reliability of llms in programming contexts. in this work, we perform a comprehensive study of data contamination of popular code generation benchmarks, and precisely quantify their overlap with pretraining corpus through both surface-level and semantic-level matching. in our experiments, we show that there are substantial overlap between popular code generation benchmarks and open training corpus, and models perform significantly better on the subset of the benchmarks where similar solutions are seen during training. we also conduct extensive analysis on the factors that affects model memorization and generalization, such as model size, problem difficulty, and question length. we release all resulting files from our matching pipeline for future research.",2024-03-06
"online training of large language models: learn while chatting","juhao liang, ziwei wang, zhuoheng ma, jianquan li, zhiyi zhang, xiangbo wu, benyou wang","computation and language","large language models(llms) have dramatically revolutionized the field of natural language processing(nlp), offering remarkable capabilities that have garnered widespread usage. however, existing interaction paradigms between llms and users are constrained by either inflexibility, limitations in customization, or a lack of persistent learning. this inflexibility is particularly evident as users, especially those without programming skills, have restricted avenues to enhance or personalize the model. existing frameworks further complicate the model training and deployment process due to their computational inefficiencies and lack of user-friendly interfaces. to overcome these challenges, this paper introduces a novel interaction paradigm-'online training using external interactions'-that merges the benefits of persistent, real-time model updates with the flexibility for individual customization through external interactions such as ai agents or online/offline knowledge bases.",2024-03-04
"qrtree -- decision tree dialect specification of qrscript","stefano scanzio, matteo rosani, mattia scamuzzi, gianluca cena","networking and internet architecture","this specification document specifies the syntax and semantics of qrtree, which is a specific dialect of qrscript particularly suited to represent decision trees without chance nodes. the term dialect identifies one of the possible sub-languages that can be encoded inside of an eqr code via qrscript. this specification will describe an intermediate representation of qrtree, made through a language derived by the three-address code. it will then define the transformation rules from the intermediate representation to a binary code. the latter is a binary representation called eqrtreebytecode. these rules can also be applied inversely to transform the eqrtreebytecode into the intermediate representation. this specification document will pay particular attention to the creation of a compact eqrtreebytecode, as the maximum number of bits that can be stored in a qr code is, at the time of writing, equal to 2953 bytes (in the case of qr code version 40 with a ""low"" error correction level).",2024-03-07
"cedar: a new language for expressive, fast, safe, and analyzable authorization (extended version)","joseph w. cutler, craig disselkoen, aaron eline, shaobo he, kyle headley, michael hicks, kesha hietala, eleftherios ioannidis, john kastner, anwar mamat, darin mcadams, matt mccutchen, neha rungta, emina torlak, andrew wells","programming languages","cedar is a new authorization policy language designed to be ergonomic, fast, safe, and analyzable. rather than embed authorization logic in an application's code, developers can write that logic as cedar policies and delegate access decisions to cedar's evaluation engine. cedar's simple and intuitive syntax supports common authorization use-cases with readable policies, naturally leveraging concepts from role-based, attribute-based, and relation-based access control models. cedar's policy structure enables access requests to be decided quickly. cedar's policy validator leverages optional typing to help policy writers avoid mistakes, but not get in their way. cedar's design has been finely balanced to allow for a sound and complete logical encoding, which enables precise policy analysis, e.g., to ensure that when refactoring a set of policies, the authorized permissions do not change. we have modeled cedar in the lean programming language, and used lean's proof assistant to prove important properties of cedar's design. we have implemented cedar in rust, and released it open-source. comparing cedar to two open-source languages, openfga and rego, we find (subjectively) that cedar has equally or more readable policies, but (objectively) performs far better.",2024-03-07
"message-observing sessions","ryan kavanagh, brigitte pientka","programming languages","we present most, a process language with message-observing session types. message-observing session types extend binary session types with type-level computation to specify communication protocols that vary based on messages observed on other channels. hence, most allows us to express global invariants about processes, rather than just local invariants, in a bottom-up, compositional way. we give most a semantic foundation using traces with binding, a semantic approach for compositionally reasoning about traces in the presence of name generation. we use this semantics to prove type soundness and compositionality for most processes. we see this as a significant step towards capturing message-dependencies and providing more precise guarantees about processes.",2024-03-07
"strong priority and determinacy in timed ccs","luigi liquori, michael mendler","programming languages","building on the classical theory of process algebra with priorities, we identify a new scheduling mechanism, called ""sequentially constructive reduction"" which is designed to capture the essence of synchronous programming. the distinctive property of this evaluation strategy is to achieve determinism-by-construction for multi-cast concurrent communication. in particular, it permits us to model shared memory multi-threading with reaction to absence as it lies at the core of the programming language esterel. in the technical setting of ccs extended by clocks and priorities, we prove for a large class of processes, which we call ""structurally coherent"" the confluence property for constructive reductions. we further show that under some syntactic restrictions, called ""pivotable"" the operators of prefix, summation, parallel composition, restriction and hiding preserve structural coherence. this covers a strictly larger class of processes compared to those that are confluent in milner's classical theory of ccs without priorities.",2024-03-07
"towards automatic composition of asp programs from natural language specifications","manuel borroto, irfan kareem, francesco ricca","artificial intelligence","this paper moves the first step towards automating the composition of answer set programming (asp) specifications. in particular, the following contributions are provided: (i) a dataset focused on graph-related problem specifications, designed to develop and assess tools for asp automatic coding; (ii) a two-step architecture, implemented in the nl2asp tool, for generating asp programs from natural language specifications. nl2asp uses neural machine translation to transform natural language into controlled natural language (cnl) statements. subsequently, cnl statements are converted into asp code using the cnl2asp tool. an experiment confirms the viability of the approach.",2024-03-07
"feedback-generation for programming exercises with gpt-4","imen azaiz, natalie kiesler, sven strickroth","artificial intelligence","ever since large language models (llms) and related applications have become broadly available, several studies investigated their potential for assisting educators and supporting students in higher education. llms such as codex, gpt-3.5, and gpt 4 have shown promising results in the context of large programming courses, where students can benefit from feedback and hints if provided timely and at scale. this paper explores the quality of gpt-4 turbo's generated output for prompts containing both the programming task specification and a student's submission as input. two assignments from an introductory programming course were selected, and gpt-4 was asked to generate feedback for 55 randomly chosen, authentic student programming submissions. the output was qualitatively analyzed regarding correctness, personalization, fault localization, and other features identified in the material. compared to prior work and analyses of gpt-3.5, gpt-4 turbo shows notable improvements. for example, the output is more structured and consistent. gpt-4 turbo can also accurately identify invalid casing in student programs' output. in some cases, the feedback also includes the output of the student program. at the same time, inconsistent feedback was noted such as stating that the submission is correct but an error needs to be fixed. the present work increases our understanding of llms' potential, limitations, and how to integrate them into e-assessment systems, pedagogical scenarios, and instructing students who are using applications based on gpt-4.",2024-03-07
"whodunit: classifying code as human authored or gpt-4 generated -- a case study on codechef problems","oseremen joy idialu, noble saji mathews, rungroj maipradit, joanne m. atlee, mei nagappan","software engineering","artificial intelligence (ai) assistants such as github copilot and chatgpt, built on large language models like gpt-4, are revolutionizing how programming tasks are performed, raising questions about whether code is authored by generative ai models. such questions are of particular interest to educators, who worry that these tools enable a new form of academic dishonesty, in which students submit ai generated code as their own work. our research explores the viability of using code stylometry and machine learning to distinguish between gpt-4 generated and human-authored code. our dataset comprises human-authored solutions from codechef and ai-authored solutions generated by gpt-4. our classifier outperforms baselines, with an f1-score and auc-roc score of 0.91. a variant of our classifier that excludes gameable features (e.g., empty lines, whitespace) still performs well with an f1-score and auc-roc score of 0.89. we also evaluated our classifier with respect to the difficulty of the programming problem and found that there was almost no difference between easier and intermediate problems, and the classifier performed only slightly worse on harder problems. our study shows that code stylometry is a promising approach for distinguishing between gpt-4 generated code and human-authored code.",2024-03-06
"guiding enumerative program synthesis with large language models","yixuan li, julian parsert, elizabeth polgreen","artificial intelligence","pre-trained large language models (llms) are beginning to dominate the discourse around automatic code generation with natural language specifications. in contrast, the best-performing synthesizers in the domain of formal synthesis with precise logical specifications are still based on enumerative algorithms. in this paper, we evaluate the abilities of llms to solve formal synthesis benchmarks by carefully crafting a library of prompts for the domain. when one-shot synthesis fails, we propose a novel enumerative synthesis algorithm, which integrates calls to an llm into a weighted probabilistic search. this allows the synthesizer to provide the llm with information about the progress of the enumerator, and the llm to provide the enumerator with syntactic guidance in an iterative loop. we evaluate our techniques on benchmarks from the syntax-guided synthesis (sygus) competition. we find that gpt-3.5 as a stand-alone tool for formal synthesis is easily outperformed by state-of-the-art formal synthesis algorithms, but our approach integrating the llm into an enumerative synthesis algorithm shows significant performance gains over both the llm and the enumerative synthesizer alone and the winning sygus competition tool.",2024-03-06
"identify critical nodes in complex network with large language models","jinzhu mao, dongyun zou, li sheng, siyi liu, chen gao, yue wang, yong li","social and information networks","identifying critical nodes in networks is a classical decision-making task, and many methods struggle to strike a balance between adaptability and utility. therefore, we propose an approach that empowers evolutionary algorithm (ea) with large language models (llms), to generate a function called ""score\_nodes"" which can further be used to identify crucial nodes based on their assigned scores. our model consists of three main components: manual initialization, population management, and llms-based evolution. it evolves from initial populations with a set of designed node scoring functions created manually. llms leverage their strong contextual understanding and rich programming skills to perform crossover and mutation operations on the individuals, generating excellent new functions. these functions are then categorized, ranked, and eliminated to ensure the stable development of the populations while preserving diversity. extensive experiments demonstrate the excellent performance of our method, showcasing its strong generalization ability compared to other state-of-the-art algorithms. it can consistently and orderly generate diverse and efficient node scoring functions. all source codes and models that can reproduce all results in this work are publicly available at this link: \url{https://anonymous.4open.science/r/llm4cn-6520}",2024-03-01
"ircoder: intermediate representations make language models robust multilingual code generators","indraneil paul, jun luo, goran glavaš, iryna gurevych","artificial intelligence","code understanding and generation have fast become some of the most popular applications of language models (lms). nonetheless, research on multilingual aspects of code-lms (i.e., lms for code generation) such as cross-lingual transfer between different programming languages, language-specific data augmentation, and post-hoc lm adaptation, alongside exploitation of data sources other than the original textual content, has been much sparser than for their natural language counterparts. in particular, most mainstream code-lms have been pre-trained on source code files alone. in this work, we investigate the prospect of leveraging readily available compiler intermediate representations - shared across programming languages - to improve the multilingual capabilities of code-lms and facilitate cross-lingual transfer.
to this end, we first compile sltrans, a parallel dataset consisting of nearly 4m self-contained source code files coupled with respective intermediate representations. next, starting from various base code-lms (ranging in size from 1.1b to 7.3b parameters), we carry out continued causal language modelling training on sltrans, forcing the code-lms to (1) learn the ir language and (2) align the ir constructs with respective constructs of various programming languages. our resulting models, dubbed ircoder, display sizeable and consistent gains across a wide variety of code generation tasks and metrics, including prompt robustness, multilingual code completion, code understanding, and instruction following.",2024-03-06
"digitality as a ""longue durèe"" historical phenomenon","salvatore spina","computers and society","the digital age introduced the digital ecological niche (den), revolutionizing human interactions. the advent of digital history (dhy) has marked a methodological shift in historical studies, tracing its roots to babbage and lovelace's 19th-century work on ""coding"" as a foundational communication process, fostering a new interaction paradigm between humans and machines, termed ""person2persons2machines."" this evolution, through digitization and informatization, builds upon ancient coding practices but was significantly advanced by babbage and lovelace's contributions to mathematical linguistic systems, laying the groundwork for computer science. this field, central to 20th-century mainframe interaction through programming languages and formalization, situates digital history within a broader historical context. here, coding and mathematical methodologies empower historians with advanced technologies for historical data preservation and analysis. nonetheless, the extent to which computation and turing machines can fully understand and interpret history remains a subject of debate.",2024-03-06
"robust mitl planning under uncertain navigation times","alexis linard, anna gautier, daniel duberg, jana tumova","robotics","in environments like offices, the duration of a robot's navigation between two locations may vary over time. for instance, reaching a kitchen may take more time during lunchtime since the corridors are crowded with people heading the same way. in this work, we address the problem of routing in such environments with tasks expressed in metric interval temporal logic (mitl) - a rich robot task specification language that allows us to capture explicit time requirements. our objective is to find a strategy that maximizes the temporal robustness of the robot's mitl task. as the first step towards a solution, we define a mixed-integer linear programming approach to solving the task planning problem over a varying weighted transition system, where navigation durations are deterministic but vary depending on the time of day. then, we apply this planner to optimize for mitl temporal robustness in markov decision processes, where the navigation durations between physical locations are uncertain, but the time-dependent distribution over possible delays is known. finally, we develop a receding horizon planner for markov decision processes that preserves guarantees over mitl temporal robustness. we show the scalability of our planning algorithms in simulations of robotic tasks.",2024-03-06
"automatic bi-modal question title generation for stack overflow with prompt learning","shaoyu yang, xiang chen, ke liu, guang yang, chi yu","software engineering","when drafting question posts for stack overflow, developers may not accurately summarize the core problems in the question titles, which can cause these questions to not get timely help. therefore, improving the quality of question titles has attracted the wide attention of researchers. an initial study aimed to automatically generate the titles by only analyzing the code snippets in the question body. however, this study ignored the helpful information in their corresponding problem descriptions. therefore, we propose an approach sotitle+ by considering bi-modal information (i.e., the code snippets and the problem descriptions) in the question body. then we formalize the title generation for different programming languages as separate but related tasks and utilize multi-task learning to solve these tasks. later we fine-tune the pre-trained language model codet5 to automatically generate the titles. unfortunately, the inconsistent inputs and optimization objectives between the pre-training task and our investigated task may make fine-tuning hard to fully explore the knowledge of the pre-trained model. to solve this issue, sotitle+ further prompt-tunes codet5 with hybrid prompts (i.e., mixture of hard and soft prompts). to verify the effectiveness of sotitle+, we construct a large-scale high-quality corpus from recent data dumps shared by stack overflow. our corpus includes 179,119 high-quality question posts for six popular programming languages. experimental results show that sotitle+ can significantly outperform four state-of-the-art baselines in both automatic evaluation and human evaluation. our work indicates that considering bi-modal information and prompt learning in stack overflow title generation is a promising exploration direction.",2024-03-06
"magic markup: maintaining document-external markup with an llm","edward misback, zachary tatlock, steven l. tanimoto","computation and language","text documents, including programs, typically have human-readable semantic structure. historically, programmatic access to these semantics has required explicit in-document tagging. especially in systems where the text has an execution semantics, this means it is an opt-in feature that is hard to support properly. today, language models offer a new method: metadata can be bound to entities in changing text using a model's human-like understanding of semantics, with no requirements on the document structure. this method expands the applications of document annotation, a fundamental operation in program writing, debugging, maintenance, and presentation. we contribute a system that employs an intelligent agent to re-tag modified programs, enabling rich annotations to automatically follow code as it evolves. we also contribute a formal problem definition, an empirical synthetic benchmark suite, and our benchmark generator. our system achieves an accuracy of 90% on our benchmarks and can replace a document's tags in parallel at a rate of 5 seconds per tag. while there remains significant room for improvement, we find performance reliable enough to justify further exploration of applications.",2024-03-06
"generative explanations for program synthesizers","amirmohammad nazari, souti chattopadhyay, swabha swayamdipta, mukund raghothaman","programming languages","despite great advances in program synthesis techniques, they remain algorithmic black boxes. although they guarantee that when synthesis is successful, the implementation satisfies the specification, they provide no additional information regarding how the implementation works or the manner in which the specification is realized. one possibility to answer these questions is to use large language models (llms) to construct human-readable explanations. unfortunately, experiments reveal that llms frequently produce nonsensical or misleading explanations when applied to the unidiomatic code produced by program synthesizers.
in this paper, we develop an approach to reliably augment the implementation with explanatory names. we recover fine-grained input-output data from the synthesis algorithm to enhance the prompt supplied to the llm, and use a combination of a program verifier and a second language model to validate the proposed explanations before presenting them to the user. together, these techniques massively improve the accuracy of the proposed names, from 24% to 79% respectively. through a pair of small user studies, we find that users significantly prefer the explanations produced by our technique (76% of responses indicating the appropriateness of the presenting names) to the baseline (with only 2% of responses approving of the suggestions), and that the proposed names measurably help users in understanding the synthesized implementation.",2024-03-06
"explaining genetic programming trees using large language models","paula maddigan, andrew lensen, bing xue","neural and evolutionary computing","genetic programming (gp) has the potential to generate explainable results, especially when used for dimensionality reduction. in this research, we investigate the potential of leveraging explainable ai (xai) and large language models (llms) like chatgpt to improve the interpretability of gp-based non-linear dimensionality reduction. our study introduces a novel xai dashboard named gp4nldr, the first approach to combine state-of-the-art gp with an llm-powered chatbot to provide comprehensive, user-centred explanations. we showcase the system's ability to provide intuitive and insightful narratives on high-dimensional data reduction processes through case studies. our study highlights the importance of prompt engineering in eliciting accurate and pertinent responses from llms. we also address important considerations around data privacy, hallucinatory outputs, and the rapid advancements in generative ai. our findings demonstrate its potential in advancing the explainability of gp algorithms. this opens the door for future research into explaining gp models with llms.",2024-03-06
"algorithmic syntactic causal identification","dhurim cakiqi, max a. little","artificial intelligence","causal identification in causal bayes nets (cbns) is an important tool in causal inference allowing the derivation of interventional distributions from observational distributions where this is possible in principle. however, most existing formulations of causal identification using techniques such as d-separation and do-calculus are expressed within the mathematical language of classical probability theory on cbns. however, there are many causal settings where probability theory and hence current causal identification techniques are inapplicable such as relational databases, dataflow programs such as hardware description languages, distributed systems and most modern machine learning algorithms. we show that this restriction can be lifted by replacing the use of classical probability theory with the alternative axiomatic foundation of symmetric monoidal categories. in this alternative axiomatization, we show how an unambiguous and clean distinction can be drawn between the general syntax of causal models and any specific semantic implementation of that causal model. this allows a purely syntactic algorithmic description of general causal identification by a translation of recent formulations of the general id algorithm through fixing. our description is given entirely in terms of the non-parametric admg structure specifying a causal model and the algebraic signature of the corresponding monoidal category, to which a sequence of manipulations is then applied so as to arrive at a modified monoidal category in which the desired, purely syntactic interventional causal model, is obtained. we use this idea to derive purely syntactic analogues of classical back-door and front-door causal adjustment, and illustrate an application to a more complex causal model.",2024-03-14
"enabling waypoint generation for collaborative robots using llms and mixed reality","cathy mengying fang, krzysztof zieliński, pattie maes, joe paradiso, bruce blumberg, mikkel baun kjærgaard","human-computer interaction","programming a robotic is a complex task, as it demands the user to have a good command of specific programming languages and awareness of the robot's physical constraints. we propose a framework that simplifies robot deployment by allowing direct communication using natural language. it uses large language models (llm) for prompt processing, workspace understanding, and waypoint generation. it also employs augmented reality (ar) to provide visual feedback of the planned outcome. we showcase the effectiveness of our framework with a simple pick-and-place task, which we implement on a real robot. moreover, we present an early concept of expressive robot behavior and skill generation that can be used to communicate with the user and learn new skills (e.g., object grasping).",2024-03-14
"bugs in large language models generated code","florian tambon, arghavan moradi dakhel, amin nikanjam, foutse khomh, michel c. desmarais, giuliano antoniol","software engineering","large language models (llms) for code have gained significant attention recently. they can generate code in different programming languages based on provided prompts, fulfilling a long-lasting dream in software engineering (se), i.e., automatic code generation. similar to human-written code, llm-generated code is prone to bugs, and these bugs have not yet been thoroughly examined by the community. given the increasing adoption of llm-based code generation tools (e.g., github copilot) in se activities, it is critical to understand the characteristics of bugs contained in code generated by llms. this paper examines a sample of 333 bugs collected from code generated using three leading llms (i.e., codegen, pangu-coder, and codex) and identifies the following 10 distinctive bug patterns: misinterpretations, syntax error, silly mistake, prompt-biased code, missing corner case, wrong input type, hallucinated object, wrong attribute, incomplete generation, and non-prompted consideration. the bug patterns are presented in the form of a taxonomy. the identified bug patterns are validated using an online survey with 34 llm practitioners and researchers. the surveyed participants generally asserted the significance and prevalence of the bug patterns. researchers and practitioners can leverage these findings to develop effective quality assurance techniques for llm-generated code. this study sheds light on the distinctive characteristics of llm-generated code.",2024-03-13
"formalizing date arithmetic and statically detecting ambiguities for the law","raphaël monat, aymeric fromherz, denis merigoux","programming languages","legal expert systems routinely rely on date computations to determine the eligibility of a citizen to social benefits or whether an application has been filed on time. unfortunately, date arithmetic exhibits many corner cases, which are handled differently from one library to the other, making faithfully transcribing the law into code error-prone, and possibly leading to heavy financial and legal consequences for users. in this work, we aim to provide a solid foundation for date arithmetic working on days, months and years. we first present a novel, formal semantics for date computations, and formally establish several semantic properties through a mechanization in the f* proof assistant. building upon this semantics, we then propose a static analysis by abstract interpretation to automatically detect ambiguities in date computations. we finally integrate our approach in the catala language, a recent domain-specific language for formalizing computational law, and use it to analyze the catala implementation of the french housing benefits, leading to the discovery of several date-related ambiguities.",2024-03-13
"jaxbind: bind any function to jax","jakob roth, martin reinecke, gordian edenhofer","instrumentation and methods for astrophysics","jax is widely used in machine learning and scientific computing, the latter of which often relies on existing high-performance code that we would ideally like to incorporate into jax. reimplementing the existing code in jax is often impractical and the existing interface in jax for binding custom code requires deep knowledge of jax and its c++ backend. the goal of jaxbind is to drastically reduce the effort required to bind custom functions implemented in other programming languages to jax. specifically, jaxbind provides an easy-to-use python interface for defining custom so-called jax primitives that support arbitrary jax transformations.",2024-03-13
"predictive analysis of tuberculosis treatment outcomes using machine learning: a karnataka tb data study at a scale","seshasai nath chinagudaba, darshan gera, krishna kiran vamsi dasu, uma shankar s, kiran k, anil singarajpure, shivayogappa.u, somashekar n, vineet kumar chadda, sharath b n","machine learning","tuberculosis (tb) remains a global health threat, ranking among the leading causes of mortality worldwide. in this context, machine learning (ml) has emerged as a transformative force, providing innovative solutions to the complexities associated with tb treatment.this study explores how machine learning, especially with tabular data, can be used to predict tuberculosis (tb) treatment outcomes more accurately. it transforms this prediction task into a binary classification problem, generating risk scores from patient data sourced from nikshay, india's national tb control program, which includes over 500,000 patient records.
data preprocessing is a critical component of the study, and the model achieved an recall of 98% and an auc-roc score of 0.95 on the validation set, which includes 20,000 patient records.we also explore the use of natural language processing (nlp) for improved model learning. our results, corroborated by various metrics and ablation studies, validate the effectiveness of our approach. the study concludes by discussing the potential ramifications of our research on tb eradication efforts and proposing potential avenues for future work. this study marks a significant stride in the battle against tb, showcasing the potential of machine learning in healthcare.",2024-03-13
"devbench: a comprehensive benchmark for software development","bowen li, wenhan wu, ziwei tang, lin shi, john yang, jinyang li, shunyu yao, chen qian, binyuan hui, qicheng zhang, zhiyin yu, he du, ping yang, dahua lin, chao peng, kai chen","computation and language","recent advancements in large language models (llms) have significantly enhanced their coding capabilities. however, existing benchmarks predominantly focused on simplified or isolated aspects of programming, such as single-file code generation or repository issue debugging, falling short of measuring the full spectrum of challenges raised by real-world programming activities. to this end, we propose devbench, a comprehensive benchmark that evaluates llms across various stages of the software development lifecycle, including software design, environment setup, implementation, acceptance testing, and unit testing. devbench features a wide range of programming languages and domains, high-quality data collection, and carefully designed and verified metrics for each task. empirical studies show that current llms, including gpt-4-turbo, fail to solve the challenges presented within devbench. analyses reveal that models struggle with understanding the complex structures in the repository, managing the compilation process, and grasping advanced programming concepts. our findings offer actionable insights for the future development of llms toward real-world programming applications. our benchmark is available at this https url",2024-03-13
"a picture is worth a thousand words: exploring diagram and video-based oop exercises to counter llm over-reliance","bruno pereira cipriano, pedro alves, paul denny","software engineering","much research has highlighted the impressive capabilities of large language models (llms), like gpt and bard, for solving introductory programming exercises. recent work has shown that llms can effectively solve a range of more complex object-oriented programming (oop) exercises with text-based specifications. this raises concerns about academic integrity, as students might use these models to complete assignments unethically, neglecting the development of important skills such as program design, problem-solving, and computational thinking. to address this, we propose an innovative approach to formulating oop tasks using diagrams and videos, as a way to foster problem-solving and deter students from a copy-and-prompt approach in oop courses. we introduce a novel notation system for specifying oop assignments, encompassing structural and behavioral requirements, and assess its use in a classroom setting over a semester. student perceptions of this approach are explored through a survey (n=56). generally, students responded positively to diagrams and videos, with video-based projects being better received than diagram-based exercises. this notation appears to have several benefits, with students investing more effort in understanding the diagrams and feeling more motivated to engage with the video-based projects. furthermore, students reported being less inclined to rely on llm-based code generation tools for these diagram and video-based exercises. experiments with gpt-4 and bard's vision abilities revealed that they currently fall short in interpreting these diagrams to generate accurate code solutions.",2024-03-13
"cleanagent: automating data standardization with llm-based agents","danrui qi, jiannan wang","machine learning","data standardization is a crucial part in data science life cycle. while tools like pandas offer robust functionalities, their complexity and the manual effort required for customizing code to diverse column types pose significant challenges. although large language models (llms) like chatgpt have shown promise in automating this process through natural language understanding and code generation, it still demands expert-level programming knowledge and continuous interaction for prompt refinement. to solve these challenges, our key idea is to propose a python library with declarative, unified apis for standardizing column types, simplifying the code generation of llm with concise api calls. we first propose dataprep.clean which is written as a component of the dataprep library, offers a significant reduction in complexity by enabling the standardization of specific column types with a single line of code. then we introduce the cleanagent framework integrating dataprep.clean and llm-based agents to automate the data standardization process. with cleanagent, data scientists need only provide their requirements once, allowing for a hands-free, automatic standardization process.",2024-03-13
